bodyId,type,instance,class,superclass,somaSide,sensory_group
231936,JO-FD1,JO-FD1_L,mechanosensory,cb_sensory,,johnstons_organ
232880,JO-A1,JO-A1_L,mechanosensory,cb_sensory,,johnstons_organ
233170,JO-B3,JO-B3_L,mechanosensory,cb_sensory,,johnstons_organ
235133,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
235763,JO-ED1,JO-ED1_R,mechanosensory,cb_sensory,,johnstons_organ
237273,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
237833,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
238938,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
240644,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
241016,JO-B3,JO-B3_R,mechanosensory,cb_sensory,,johnstons_organ
241065,JO-ED1,JO-ED1_L,mechanosensory,cb_sensory,,johnstons_organ
241662,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
242202,JO-EV6,JO-EV6_R,mechanosensory,cb_sensory,,johnstons_organ
243520,JO-ED2_b,JO-ED2_b_L,mechanosensory,cb_sensory,,johnstons_organ
244217,JO-ED2_c,JO-ED2_c_R,mechanosensory,cb_sensory,,johnstons_organ
246484,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
247028,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
248488,JO-B2,JO-B2_R,mechanosensory,cb_sensory,,johnstons_organ
249842,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
252053,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
252889,JO-DP,JO-DP_L,mechanosensory,cb_sensory,,johnstons_organ
255964,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
256622,JO-ED2_b,JO-ED2_b_L,mechanosensory,cb_sensory,,johnstons_organ
258426,JO-B2,JO-B2_L,mechanosensory,cb_sensory,,johnstons_organ
259400,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
260581,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
261211,JO-CA1,JO-CA1_L,mechanosensory,cb_sensory,,johnstons_organ
263492,JO-CM,JO-CM_L,mechanosensory,cb_sensory,,johnstons_organ
265416,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
268351,JO-FD2,JO-FD2_R,mechanosensory,cb_sensory,,johnstons_organ
270708,JO-B-unclear,JO-B-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
274047,JO-mz,JO-mz_L,mechanosensory,cb_sensory,,johnstons_organ
274169,JO-B1_b,JO-B1_b_L,mechanosensory,cb_sensory,,johnstons_organ
275117,JO-EV6,JO-EV6_L,mechanosensory,cb_sensory,,johnstons_organ
276829,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
277619,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
277683,JO-CA2,JO-CA2_L,mechanosensory,cb_sensory,,johnstons_organ
277760,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
279391,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
281017,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
283806,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
287167,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
293125,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
301305,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
301867,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
303057,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
303968,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
304167,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
306607,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
308087,JO-A1,JO-A1_R,mechanosensory,cb_sensory,,johnstons_organ
308970,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
310422,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
320740,JO-ED2_c,JO-ED2_c_L,mechanosensory,cb_sensory,,johnstons_organ
321241,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
321272,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
322016,JO-CA1,JO-CA1_L,mechanosensory,cb_sensory,,johnstons_organ
324453,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
324669,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
325276,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
325429,JO-ED1,JO-ED1_L,mechanosensory,cb_sensory,,johnstons_organ
327202,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
330394,JO-ED1,JO-ED1_L,mechanosensory,cb_sensory,,johnstons_organ
330724,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
331081,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
331280,JO-B-unclear,JO-B-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
332877,JO-CL,JO-CL_R,mechanosensory,cb_sensory,,johnstons_organ
333565,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
335272,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
336332,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
341503,JO-B3,JO-B3_R,mechanosensory,cb_sensory,,johnstons_organ
341661,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
343346,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
345335,JO-EV5,JO-EV5_L,mechanosensory,cb_sensory,,johnstons_organ
354677,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
356908,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
360461,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
360579,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
363027,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
363793,JO-B-unclear,JO-B-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
366857,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
376040,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
377394,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
377495,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
378122,JO-B-unclear,JO-B-unclear_L,mechanosensory,cb_sensory,,johnstons_organ
378732,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
381870,JO-B1_b,JO-B1_b_R,mechanosensory,cb_sensory,,johnstons_organ
382609,JO-ED1,JO-ED1_L,mechanosensory,cb_sensory,,johnstons_organ
383609,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
387990,JO-A1,JO-A1_L,mechanosensory,cb_sensory,,johnstons_organ
390116,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
391272,JO-CA2,JO-CA2_L,mechanosensory,cb_sensory,,johnstons_organ
394318,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
397089,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
397749,JO-B4_b,JO-B4_b_R,mechanosensory,cb_sensory,,johnstons_organ
398462,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
398883,JO-A1,JO-A1_R,mechanosensory,cb_sensory,,johnstons_organ
403040,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
403791,JO-B1_c,JO-B1_c_L,mechanosensory,cb_sensory,,johnstons_organ
406920,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
407092,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
407325,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
407821,JO-EV5,JO-EV5_R,mechanosensory,cb_sensory,,johnstons_organ
413003,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
415959,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
416552,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
417419,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
422978,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
423565,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
425614,JO-ED1,JO-ED1_R,mechanosensory,cb_sensory,,johnstons_organ
426515,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
426803,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
427762,JO-A2,JO-A2_R,mechanosensory,cb_sensory,,johnstons_organ
